Nombre evento,Componente,Descripción,palabra clave,repre,
Rol sin asignar,null,The user with id '2' unassigned the role with id '3' from the user with id '7262'.,,,
Sco iniciado,null,The user with id '7243' launched the sco with id '1972' for the scorm with course module id '2295519'.,,,
Se ha calificado el envío.,null,The user with id '7243' has graded the submission '166409' for the user with id '35078' for the assignment with course module id '2235696'.,,,
Se ha enviado una entrega,null,The user with id '35379' has submitted the submission with id '344031' for the assignment with course module id '2381936'.,,,
Se ha visualizado el estado de la entrega.,null,The user with id '35065' has viewed the submission status page for the assignment with course module id '2838699'.,,,
Sección de curso actualizado,null,The user with id '7243' updated section number '7' for the course with id '8354',,,
Seguimiento de lectura deshabilitado,null,The user with id '7243' has disabled read tracking for the user with id '7243' in the forum with course module id '2318003'.,,,
Sesiones vistas,null,"The user with id '34000' has viewed the sessions of the chat with course module id
            '2251790'.",,,
Suscripción activada,null,The user with id '7243' subscribed the user with id '7262' to the forum with course module id '2235688'.,,,
Suscriptores visualizados,null,The user with id '7243' has viewed the subscribers list for the forum with course module id '2174356'.,,,
Tema borrado,null,The user with id '7243' has deleted the discussion with id '34849' in the forum with course module id '2174355'.,,,
Tema creado,null,The user with id '7243' has created the discussion with id '41997' in the forum with course module id '2386718'.,,,
Tema movido,null,The user with id '7243' has moved the discussion with id '22862' from the forum with id '7676' to the forum with id '7675'.,,,
Tema visto,null,The user with id '7243' has viewed the discussion with id '44135' in the forum with course module id '2174355'.,,,
Todos los envíos se están descargando.,null,The user with id '7243' has downloaded all the submissions for the assignment with course module id '2235696'.,,,
Un fichero ha sido subido.,null,The user with id '35065' has uploaded a file to the submission with id '324933' in the assignment activity with course module id '2381936'.,,,
Usuario calificado,null,The user with id '7243' updated the grade with id '2141992' for the user with id '40030' for the grade item with id '68712'.,,,
Usuario matriculado en curso,null,The user with id '0' unenrolled the user with id '39332' using the enrolment method 'database' from the course with id '8354'.,,,
,,The user with id '7243' enrolled the user with id '6539' using the enrolment method 'manual' in the course with id '8354'.,,,
,,The user with id '2' updated the enrolment for the user with id '6785' using the enrolment method 'manual' in the course with id '8354'.,,,
Vista previa del intento iniciada,null,The user with id '7243' has had their attempt with id '229735' previewed by the user with id '7243' for the quiz with course module id '2399593'.,,,
Visualización de las Calificaciones,null,The user with id '7243' viewed the grading table for the assignment with course module id '2411687'.,,,
,null,,,,
,null,,,,
,null,,,,
,null,,,,
,null,,,,
,null,,,,
,null,,,,
,null,,,,
,null,,,,
,null,,,,
,null,,,,
,null,,,,
,null,,,,
,null,,,,
,null,,,,
,null,,,,
